Type,Type ID,Tag,Name,Address,City,Full Address,Phone,Fax,Website,Email,Description
Business,1,Attorney,"Denby, Meno, Bloomer & Denby",South East Side Square,"Carlinville, IL","South East Side Square Carlinville, IL",217-854-4761,,,,
Business,1,Attorney,"Denby, Meno, Bloomer & Denby",425 W Main,"Staunton, IL","425 W Main Staunton, IL",618-635-5250,,,,
Business,1,Attorney,McGrady Law Office,104 E Chestnut,"Gillespie, IL","104 E Chestnut Gillespie, IL",217-839-2129,,,,
Business,1,Attorney,Polo Law Office,207 N Macoupin,"Gillespie, IL","207 N Macoupin Gillespie, IL",217-839-2000,,,,
Business,1,Attorney,Verticchio & Verticchio Law Office,100 E Chestnut St,"Gillespie, IL","100 E Chestnut St Gillespie, IL",217-839-4411,,,,
Business,1,Attorney,"Bob Watson, Attorney at Law",115 N Washington,"Bunker Hill, IL","115 N Washington Bunker Hill, IL",618-372-8441,,,,
Business,1,Attorney,"Bob Watson, Attorney at Law",201 N. Main St.,"Brighton, IL","201 N. Main St. Brighton, IL",618-372-8441,,,,
Business,1,Attorney,Mary Albert,401 N Maple St,"Brighton, IL","401 N Maple St Brighton, IL",618-372-4111,,,,
Business,1,Auto Sales,Bates Motor Company,320 W Main St,"Carlinville, IL","320 W Main St Carlinville, IL",217-854-4567,,,,
Business,1,Auto Sales,Bruckert-Daley Inc,400 West Main,"Carlinville, IL","400 West Main Carlinville, IL",217-854-4711,,,,
Business,1,Auto Sales,Bruckert's Sales & Service,202 N Washington,"Bunker Hill, IL","202 N Washington Bunker Hill, IL",618-585-3501,,,,
Business,1,Auto Sales,Country Classic Cars,2149 E Frontage Rd,"Staunton, IL","2149 E Frontage Rd Staunton, IL",618-635-7056,,,,
Business,1,Auto Sales,CSC Motor Company,711 N 3rd St,"Girard, IL","711 N 3rd St Girard, IL",217-627-2007,,,,
Business,1,Auto Sales,Daley Bruckert,320 W Pearl,"Staunton, IL","320 W Pearl Staunton, IL",618-635-5202,,,,
Business,1,Auto Sales,"Drew Ford, Inc",PO Box 29,"Gillespie, IL","PO Box 29 Gillespie, IL",217-839-2145,,,,
Business,1,Auto Sales,Doc's Used Auto Sales,607 W Warren,"Bunker Hill, IL","607 W Warren Bunker Hill, IL",618-585-3700,,,,
Business,1,Auto Sales,Frank Long Auto Sales,1586 Fosterburg Rd.,"Brighton, IL","1586 Fosterburg Rd. Brighton, IL",618-372-8400,,,,
Business,1,Auto Sales,Jeep Niehaus & Sons,400 E Main,"Mt. Olive, IL","400 E Main Mt. Olive, IL",217-999-2151,,,,
Business,1,Auto Sales,Jim Long's Used Cycles & Cars,15207 State Highway 111,"Brighton, IL","15207 State Highway 111 Brighton, IL",618-372-7700,,,,
Business,1,Auto Sales,Kruse Enterprises,118 W South,"Girard, IL","118 W South Girard, IL",217-627-3056,,,,
Business,1,Auto Sales,Smoky Jennings Chevrolet Inc,152 N Main St,"Palmyra, IL","152 N Main St Palmyra, IL",217-436-2414,,,,
Business,1,Auto Sales,Sparky's Hotrods,34508 Gun Club Rd,"Brighton, IL","34508 Gun Club Rd Brighton, IL",618-372-0020,,,,
Business,1,Auto Body/Parts,Aljects Automotive,1355 S Hackman,"Staunton, IL","1355 S Hackman Staunton, IL",618-635-2576,,,,
Business,1,Auto Body/Parts,B & J Service Center Inc,14390 Shad Road,"Carlinville, IL","14390 Shad Road Carlinville, IL",217-854-5100,,,,
Business,1,Auto Body/Parts,Bonebrake Auto Electric,34347 David Lane,"Brighton, IL","34347 David Lane Brighton, IL",618-372-8891,,,,
Business,1,Auto Body/Parts,Brighton Auto Service,110 S. Market St.,"Brighton, IL","110 S. Market St. Brighton, IL",618-372-3002,,,,
Business,1,Auto Body/Parts,Bruckert's Sales & Service,202 N Washington,"Bunker Hill, IL","202 N Washington Bunker Hill, IL",618-585-3501,,,,
Business,1,Auto Body/Parts,Clean Reflections,216 S Sherman,"Girard, IL","216 S Sherman Girard, IL",217-827-3462,,,,
Business,1,Auto Body/Parts,Costello's Automotive Repair,207 Rice,"Carlinville, IL","207 Rice Carlinville, IL",217-854-8663,,,,
Business,1,Auto Body/Parts,Cowden Auto Body,1008 W Center St,"Girard, IL","1008 W Center St Girard, IL",217-627-2199,,,,
Business,1,Auto Body/Parts,"D & A Corvette, Inc",2340 Staunton Rd,"Gillespie, IL","2340 Staunton Rd Gillespie, IL",217-839-3207,,,,
Business,1,Auto Body/Parts,D & D Service Center,224 W Center,"Girard, IL","224 W Center Girard, IL",217-627-3201,,,,
Business,1,Auto Body/Parts,Eric's Automotive Service,202 W Main,"Mt. Olive, IL","202 W Main Mt. Olive, IL",217-999-4664,,,,
Business,1,Auto Body/Parts,J & S Tire,,"Plainview, IL"," Plainview, IL",618-836-7768 or 372-7700,,,,
Business,1,Auto Body/Parts,H & H Auto Service,P. O. Box 226,"Medora, IL","P. O. Box 226 Medora, IL",618-729-3200,,,,
Business,1,Auto Body/Parts,Gateway Tire & Wheel,101 1st St.,"Shipman, IL","101 1st St. Shipman, IL",618-836-7544,,,,
Business,1,Auto Body/Parts,Goodyear - PJ's Tire and Service Center,705 West Main,"Carlinville, IL","705 West Main Carlinville, IL",217-854-4437,,,,
Business,1,Auto Body/Parts,Mt. Olive Auto Body,225 W Main,"Mt. Olive, IL","225 W Main Mt. Olive, IL",217-999-3151,,,,
Business,1,Auto Body/Parts,Meierotto Automotive,1008 N. Main St.,"Brighton, IL","1008 N. Main St. Brighton, IL",618-372-4301,,,,
Business,1,Auto Body/Parts,Mullins Auto Parts & Salvage,Old Rt 66,"Mt. Olive, IL","Old Rt 66 Mt. Olive, IL",217-999-2030,,,,
Business,1,Auto Body/Parts,Napa/McKay Auto Parts,201 E Main St,"Staunton, IL","201 E Main St Staunton, IL",618-635-5120,,,,
Business,1,Auto Body/Parts,Pat's Auto Body,1 Tiffany Lane,"Brighton, IL","1 Tiffany Lane Brighton, IL",618-372-3187,,,,
Business,1,Auto Body/Parts,Quality Motors,1301 Staunton Rd,"Gillespie, IL","1301 Staunton Rd Gillespie, IL",217-839-3332,,,,
Business,1,Auto Body/Parts,Rapid Randy's,628 S Springfield St,"Virden, IL","628 S Springfield St Virden, IL",217-965-4050,,,,
Business,1,Auto Body/Parts,Shipman Marathon,Hwy 16,"Shipman, IL","Hwy 16 Shipman, IL",618-836-7330,,,,
Business,1,Auto Body/Parts,Specialty Transmission,16415 State Highway 111,"Brighton, IL","16415 State Highway 111 Brighton, IL",618-372-8161,,,,
Business,1,Auto Body/Parts,Total Mechanical Servies,6519 New Reservoir Rd,"Mt. Olive, IL","6519 New Reservoir Rd Mt. Olive, IL",217-999-4880,,,,
Business,1,Auto Body/Parts,Waymor Power Service & Sales for Alco Diesel Engines,8334 Piasa Rd.,"Piasa, IL","8334 Piasa Rd. Piasa, IL",,,,,
Business,1,Banks/Financial Services,1st Bancfinacial,PO Box 90,"Staunton, IL","PO Box 90 Staunton, IL",618-635-2234,,,,
Business,1,Banks/Financial Services,"Ahlemeyer, Walter S. - Bonds",309 S Maple St,"Brighton, IL","309 S Maple St Brighton, IL",618-372-3821,,,,
Business,1,Banks/Financial Services,Bank & Trust,900 West Main,"Carlinville, IL","900 West Main Carlinville, IL",217-854-3554,,,,
Business,1,Banks/Financial Services,Bank of Modesto,201 E State Street,"Modesto, IL","201 E State Street Modesto, IL",217-439-7267,,,,
Business,1,Banks/Financial Services,Bank of Palmyra,332 N Main Street,"Palymyra, IL","332 N Main Street Palymyra, IL",217-436-2411,,,,
Business,1,Banks/Financial Services,Carlinville National Bank,West Side Square,"Carlinville, IL","West Side Square Carlinville, IL",217-854-2674,,,,
Business,1,Banks/Financial Services,Citizens National Bank,404 North Broad,"Carlinville, IL","404 North Broad Carlinville, IL",217-854-9347,,,,
Business,1,Banks/Financial Services,Citizens State Bank,202 N Maple St,"Brighton, IL","202 N Maple St Brighton, IL",618-372-3760,,,,
Business,1,Banks/Financial Services,Citizens State Bank,111 Keating Street,"Shipman, IL","111 Keating Street Shipman, IL",618-836-5571,,,,
Business,1,Banks/Financial Services,Credit Bureau of Macoupin County,508 North Side Square,"Carlinville, IL","508 North Side Square Carlinville, IL",217-854-3228,,,,
Business,1,Banks/Financial Services,Farmers State Bank,106 E. Washington,"Medora, IL","106 E. Washington Medora, IL",618-729-3241,,,,
Business,1,Banks/Financial Services,First Bank,200 N Main St,"Brighton, IL","200 N Main St Brighton, IL",618-372-2020,,,,
Business,1,Banks/Financial Services,First Community State Bank,417 W North,"Staunton, IL","417 W North Staunton, IL",618-635-5100,,,,
Business,1,Banks/Financial Services,First Midwest Savings,100 N Dye St,"Virden, IL","100 N Dye St Virden, IL",217-965-4968,,,,
Business,1,Banks/Financial Services,First National Bank,218 E Central,"Benld, IL","218 E Central Benld, IL",217-835-4384,,,,
Business,1,Banks/Financial Services,First National Bank,801 W Main,"Mt. Olive, IL","801 W Main Mt. Olive, IL",217-999-2265,,,,
Business,1,Banks/Financial Services,First National Bank,115 S Elm St,"Staunton, IL","115 S Elm St Staunton, IL",618-635-2234,,,,
Business,1,Banks/Financial Services,First National Bank,103 S Springfield St,"Virden, IL","103 S Springfield St Virden, IL",217-965-3344,,,,
Business,1,Banks/Financial Services,First National Bank,625 N 3rd St,"Girard, IL","625 N 3rd St Girard, IL",217-627-2112,,,,
Business,1,Banks/Financial Services,Eagle One Investments LLC,450 West Side Sqare,"Carlinville, IL","450 West Side Sqare Carlinville, IL",217-854-2525,,,,
Business,1,Banks/Financial Services,Edward Jones,126 South Broad,"Carlinville, IL","126 South Broad Carlinville, IL",217-854-4405,,,,
Business,1,Banks/Financial Services,Edward Jones,128 East Side Square,"Carlinville, IL","128 East Side Square Carlinville, IL",217-854-8068,,,,
Business,1,Banks/Financial Services,Edward Jones,309 S Maple Suite C,"Brighton, IL","309 S Maple Suite C Brighton, IL",618-372-4995,,,,
Business,1,Banks/Financial Services,Investment Centers of America,201 E Jackson St,"Virden, IL","201 E Jackson St Virden, IL",217-965-5796,,,,
Business,1,Banks/Financial Services,Investment Planners,22775 Dodge Road,"Carlinville, IL","22775 Dodge Road Carlinville, IL",217-854-4191,,,,
Business,1,Banks/Financial Services,Prairie State Bank & Trust,201 E Jackson St,"Virden, IL","201 E Jackson St Virden, IL",217-965-5496,,,,
Business,1,Banks/Financial Services,Prairie State Bank & Trust,402 N Third St,"Girard, IL","402 N Third St Girard, IL",217-627-2186,,,,
Business,1,Banks/Financial Services,"Summit Brokerage Services, Inc",111 E Jackson St,"Virden, IL","111 E Jackson St Virden, IL",217-965-3300,,,,
Business,1,Banks/Financial Services,United Community Bank,719 S Washington,"Bunker Hill, IL","719 S Washington Bunker Hill, IL",618-585-3691,,,,
Business,1,Banks/Financial Services,United Community Bank,303 N Broad St,"Carlinville, IL","303 N Broad St Carlinville, IL",217-854-4755,,,,
Business,1,Banks/Financial Services,United Community Bank,104 N Macoupin St,"Gillespie, IL","104 N Macoupin St Gillespie, IL",217-839-2141,,,,
Business,1,Banks/Financial Services,US Bank,240 Main St,"Carlinville, IL","240 Main St Carlinville, IL",217-854-3151,,,,
Business,1,Communication,Accunet,East Side Square,"Carlinville, IL","East Side Square Carlinville, IL",217-854-4458,,,,
Business,1,Communication,Community Directories,PO Box 278,"Litchfield, IL","PO Box 278 Litchfield, IL",217-324-2950,,,,
Business,1,Communication,Connexus Inc,PO Box 78819,"St. Louis, MO","PO Box 78819 St. Louis, MO",618-585-6640,,,,
Business,1,Communication,Frontier Comm Solutions,225 N Broad,"Carlinville, IL","225 N Broad Carlinville, IL",800-921-8101,,,,
Business,1,Communication,Frontier Comm Solutions,117 W Jefferson St,"Gillespie, IL","117 W Jefferson St Gillespie, IL",800-921-8101,,,,
Business,1,Communication,"Jets Computing, Inc",200 S Brighton,"Bunker Hill, IL","200 S Brighton Bunker Hill, IL",618-585-6676,,,,
Business,1,Communication,Madison Communications,21668 Double Arch Rd,"Staunton, IL","21668 Double Arch Rd Staunton, IL",618-635-5000,,,,
Business,1,Communication,New Wave Communications,1176 E 1500 N Rd,"Taylorville, IL","1176 E 1500 N Rd Taylorville, IL",618-339-1561,,,,
Business,1,Communication,Royell Communications,427 W Dean St,"Virden, IL","427 W Dean St Virden, IL",217-965-3699,,,,
Business,1,Construction,Adkins Construction Company,227 East 1st South St,"Carlinville, IL","227 East 1st South St Carlinville, IL",217-854-8901,,,,
Business,1,Construction,"America's Best Sewer & Drain, Inc.",38 Islander Dr,"Brighton, IL","38 Islander Dr Brighton, IL",618-372-3454,,,,
Business,1,Construction,B & C Construction,213 South St,"Brighton, IL","213 South St Brighton, IL",618-372-8214,,,,
Business,1,Construction,"B & G Builders, In",116 W Henry,"Staunton, IL","116 W Henry Staunton, IL",618-635-8554,,,,
Business,1,Construction,Bauser Construction,185 West City Limits Rd,"Brighton, IL","185 West City Limits Rd Brighton, IL",618-372-8637,,,,
Business,1,Construction,Benz Backhoe Service,115 S. Main St.,"Brighton, IL","115 S. Main St. Brighton, IL",618-372-8509,,,,
Business,1,Construction,Better Way Builders of Central Illinois,908 N Main St.,"Brighton, IL","908 N Main St. Brighton, IL",618-372-3121,,,,
Business,1,Construction,Bob Sons Construction,15154 Coultas Dr,"Girard, IL","15154 Coultas Dr Girard, IL",217-627-3560,,,,
Business,1,Construction,Burns Excavating & Concrete Construction Inc.,9401 Burns Rd.,"Plainview, IL","9401 Burns Rd. Plainview, IL",618-836-5973,,,,
Business,1,Construction,Calcott Roofing,106 Second Ave,"Edwardsville, IL","106 Second Ave Edwardsville, IL",,,,,
Business,1,Construction,Carlinville Truck Equipment,1900 North University,"Carlinville, IL","1900 North University Carlinville, IL",217-84-6706,,,,
Business,1,Construction,Cassens Transport,101 S Edwardsville St,"Staunton, IL","101 S Edwardsville St Staunton, IL",618-635-3589,,,,
Business,1,Construction,Central Equipment Sales & Service,21639 Route 4,"Carlinville, IL","21639 Route 4 Carlinville, IL",217-854-4454,,,,
Business,1,Construction,Circle T Steel,Hwy 111 North,"Brighton, IL","Hwy 111 North Brighton, IL",618-729-3218,,,,
Business,1,Construction,"Curtis, Aaron Excavating Contractor",Blueridge Rd,"Brighton, IL","Blueridge Rd Brighton, IL",618-372-3738,,,,
Business,1,Construction,Darr General Construction,RR 1,"Medora, IL","RR 1 Medora, IL",618-729-4391,,,,
Business,1,Construction,Delaurent Construction,PO Box 8,"Wilsonville, IL","PO Box 8 Wilsonville, IL",217-835-4861,,,,
Business,1,Construction,Del's Construction,16201 State Highway 111,"Brighton, IL","16201 State Highway 111 Brighton, IL",618-372-8808,,,,
Business,1,Construction,Delps's Home Service,2334 Blue Ridge Rd,"Brighton, IL","2334 Blue Ridge Rd Brighton, IL",618-372-7030,,,,
Business,1,Construction,Dobrinich Brick Contracting,508 4th Street,"Mt. Olive, IL","508 4th Street Mt. Olive, IL",217-999-7035,,,,
Business,1,Construction,"Ebbler, Jeff Construction",715 Voorhees Ln,"Brighton, IL","715 Voorhees Ln Brighton, IL",618-372-3600,,,,
Business,1,Construction,Eliot Gray Construction,P.O. BOX 591,"Brighton, IL","P.O. BOX 591 Brighton, IL",618-372-8781,,,,
Business,1,Construction,The Garden Gate,"Rt. 1, Box 159","Medora, IL","Rt. 1, Box 159 Medora, IL",618-729-4101,,,,
Business,1,Construction,Garretson Lumber Inc,244 N Dye St,"Virden, IL","244 N Dye St Virden, IL",217-965-4019,,,,
Business,1,Construction,Gary Contracting,"Rt. 2, Box 161","Brighton, IL","Rt. 2, Box 161 Brighton, IL",618-372-3621,,,,
Business,1,Construction,H & H Construction Services Inc,201 McCasland,"Carlinville, IL","201 McCasland Carlinville, IL",217-854-3133,,,,
Business,1,Construction,Harry Oertel Excavating,702 S. Maple St.,"Brighton, IL","702 S. Maple St. Brighton, IL",618-372-8304,,,,
Business,1,Construction,K & W Glass Company,130 N Dye St,"Virden, IL","130 N Dye St Virden, IL",217-965-4704,,,,
Business,1,Construction,KML Architectural Concrete,227 North 6th Street,"Girard, IL","227 North 6th Street Girard, IL",217-627-9011,,,,
Business,1,Construction,Kroeschel Excavating,1239 Illinois 16,"Piasa, IL","1239 Illinois 16 Piasa, IL",618-729-4357,,,,
Business,1,Construction,L & T Construction,306 N Main St,"Brighton, IL","306 N Main St Brighton, IL",618-466-8578,,,,
Business,1,Construction,Land Construction,207 W 2nd South,"Mt. Olive, IL","207 W 2nd South Mt. Olive, IL",217-999-2464,,,,
Business,1,Construction,LS Waterproofing,,"Brighton, IL"," Brighton, IL",618-372-3932,,,,
Business,1,Construction,MC Viehweg-Builder & Craftsman,1182 Timer Ridge Tr,"Mt. Olive, IL","1182 Timer Ridge Tr Mt. Olive, IL",217-999-6188,,,,
Business,1,Construction,"Meade, Virgil Concrete Construction",31552 Red Oak Dr,"Brighton, IL","31552 Red Oak Dr Brighton, IL",618-372-4450,,,,
Business,1,Construction,Midwest Basement Technologies,Ransom St,"Brighton, IL","Ransom St Brighton, IL",618-372-7077,,,,
Business,1,Construction,Moore Excavation & Concrete,20455 Oak Rest Rd,"Brighton, IL","20455 Oak Rest Rd Brighton, IL",618-372-4295,,,,
Business,1,Construction,Niccol Development,319 N Macoupin,"Gillespie, IL","319 N Macoupin Gillespie, IL",217-839-3224,,,,
Business,1,Construction,Piasa Window & Door,6342 Rt. 111,"Piasa, IL","6342 Rt. 111 Piasa, IL",618-729-3877,,,,
Business,1,Construction,Prose Drainage,30580 Henry Rd,"Girard, IL","30580 Henry Rd Girard, IL",217-627-2248,,,,
Business,1,Construction,Ranger & Sons,10763 Rt 4,"Gillespie, IL","10763 Rt 4 Gillespie, IL",217-839-2494,,,,
Business,1,Construction,"RP Lumber Co, Inc",424 W Henry St,"Staunton, IL","424 W Henry St Staunton, IL",618-635-2571,,,,
Business,1,Construction,Schien Equipment Inc,14833 Moore Cemetery Road,"Carlinville, IL","14833 Moore Cemetery Road Carlinville, IL",217-854-2513,,,,
Business,1,Construction,Sievers Equipment,14464 Shad Rd,"Carlinville, IL","14464 Shad Rd Carlinville, IL",217-854-2135,,,,
Business,1,Construction,Spark's Concrete Construction,16564 Oak Bridge Rd,"Brighton, IL","16564 Oak Bridge Rd Brighton, IL",618-372-8007,,,,
Business,1,Construction,Steve Reed Construction,616 Reed's Lane,"Shipman, IL","616 Reed's Lane Shipman, IL",618-836-7487,,,,
Business,1,Construction,Stotler Fence Company,"Rt. 1, Box 114EE","Brighton, IL","Rt. 1, Box 114EE Brighton, IL",618-372-4244,,,,
Business,1,Construction,"Tri-County Masonry, Inc",4595 Brighton/Bunker Hill Rd,"Brighton, IL","4595 Brighton/Bunker Hill Rd Brighton, IL",618-372-7062,,,,
Business,1,Construction,Tri-Zo Construction,602 N Main St,"Brighton, IL","602 N Main St Brighton, IL",618-372-3300,,,,
Business,1,Construction,Truss Slater,700 S Springfield St,"Virden, IL","700 S Springfield St Virden, IL",217-965-4911,,,,
Business,1,Construction,TwinnCo Excavating,320 S Macoupin,"Gillespie, IL","320 S Macoupin Gillespie, IL",217-839-2272,,,,
Business,1,Construction,United Contractors,,, ,618-372-4230,,,,
Business,1,Construction,Walker's Sandblasting & Painting,1066 W South,"Girard, IL","1066 W South Girard, IL",217-627-3146,,,,
Business,1,Construction,Wagner Construction,2684 Cambridge Rd.,"Brighton, IL","2684 Cambridge Rd. Brighton, IL",618-372-4219,,,,
Business,1,Construction,Wirth Professional Services,119 Madison St,"Gillespie, IL","119 Madison St Gillespie, IL",217-839-4798,,,,
Business,1,Dentist,"Bethel Buerk, DMD",140 E Dean St,"Virden, IL","140 E Dean St Virden, IL",217-965-3032,,,,
Business,1,Dentist,"John B Caldieraro III, DMD, PC",216 W Pennsylvania,"Staunton, IL","216 W Pennsylvania Staunton, IL",618-635-8333,,,,
Business,1,Dentist,"Robert T Cassens, DMD",155 N Springfield St,"Virden, IL","155 N Springfield St Virden, IL",217-965-5631,,,,
Business,1,Dentist,Smiles Plus Dental Care,"709 Staunton, IL","Gillespie, IL","709 Staunton, IL Gillespie, IL",217-839-2135,,,,
Business,1,Dentist,Staunton Family Dentist,109 W Main St,"Staunton, IL","109 W Main St Staunton, IL",618-635-2280,,,,
Business,1,Dentist,William Dondanville DMD,501 N Main St,"Brighton, IL","501 N Main St Brighton, IL",618-372-8422,,,,
Business,1,Education,Blackburn College,700 College Ave,"Carlinville, IL","700 College Ave Carlinville, IL",217-854-3231,,,,
Business,1,Education,Bunker Hill CUSD #8,701 W Brookline St,"Bunker Hill, IL","701 W Brookline St Bunker Hill, IL",618-585-3116,,,,
Business,1,Education,Carlinville CUSD #1,18456 Shipman Rd,"Carlinville, IL","18456 Shipman Rd Carlinville, IL",217-854-9823,,,,
Business,1,Education,Lewis and Clark Community College,18400 Shipman Rd,"Carlinville, IL","18400 Shipman Rd Carlinville, IL",217-854-5400,,,,
Business,1,Electrical/Heating/Cooling,"Advanced Heating, Cooling & Refrigeration",309 S Maple,"Brighton, IL","309 S Maple Brighton, IL",618-372-8955,,,,
Business,1,Electrical/Heating/Cooling,Agers Heating & Cooling,714 W Main Street,"Mt. Olive, IL","714 W Main Street Mt. Olive, IL",217-999-2071,,,,
Business,1,Electrical/Heating/Cooling,All Electric,120 E Mound,"Girard, IL","120 E Mound Girard, IL",217-627-3898,,,,
Business,1,Electrical/Heating/Cooling,All Type Heating & Cooling,708 S. Maple St.,"Brighton, IL","708 S. Maple St. Brighton, IL",618-372-3946,,,,
Business,1,Electrical/Heating/Cooling,Burgess & Son,702 N 3rd St,"Girard, IL","702 N 3rd St Girard, IL",217-627-2665,,,,
Business,1,Electrical/Heating/Cooling,Coonrod Electric Inc,18512 Shipman Rd,"Carlinville, IL","18512 Shipman Rd Carlinville, IL",217-854-8879,,,,
Business,1,Electrical/Heating/Cooling,"Dale Plumbing, Heating & Cooling",4898 Wildwood Ln,"Brighton, IL","4898 Wildwood Ln Brighton, IL",618-372-7116,,,,
Business,1,Electrical/Heating/Cooling,Dan Walk Electric,30980 Walk Rd,"Girard, IL","30980 Walk Rd Girard, IL",217-627-2719,,,,
Business,1,Electrical/Heating/Cooling,Delp's Mobile Home Heating & Cooling,,"Brighton, IL"," Brighton, IL",618-372-8375,,,,
Business,1,Electrical/Heating/Cooling,Den-Son Cooling & Heating,107 E Center St,"Brighton, IL","107 E Center St Brighton, IL",618-372-8375,,,,
Business,1,Electrical/Heating/Cooling,Griffith Plumbing and Heating Inc,770 West Main,"Carlinville, IL","770 West Main Carlinville, IL",217-854-7216,,,,
Business,1,Electrical/Heating/Cooling,Heating and Cooling: george Puskar,414 S. Hwy 67 P.O. box 164,"Medora, IL","414 S. Hwy 67 P.O. box 164 Medora, IL",618-729-4451,,,,
Business,1,Electrical/Heating/Cooling,Jackson Heating & Cooling,3142 Blueridge Rd,"Brighton, IL","3142 Blueridge Rd Brighton, IL",618-372-3444,,,,
Business,1,Electrical/Heating/Cooling,Kuethe Corporation,104 E. Center St.,"Brighton, IL","104 E. Center St. Brighton, IL",618-372-3728,,,,
Business,1,Electrical/Heating/Cooling,LeMarr Plumbing,31134 Terry Park Rd,"Palmyra, IL","31134 Terry Park Rd Palmyra, IL",217-854-7933,,,,
Business,1,Electrical/Heating/Cooling,LeVora Electric,716 North East Street,"Carlinville, IL","716 North East Street Carlinville, IL",217-854-8113,,,,
Business,1,Electrical/Heating/Cooling,Lewis Electric Inc,1204 W Dean St,"Virden, IL","1204 W Dean St Virden, IL",217-965-5095,,,,
Business,1,Electrical/Heating/Cooling,"Milcic Plumbing, Heating & AC",603 E Main,"Mt. Olive, IL","603 E Main Mt. Olive, IL",217-999-7011,,,,
Business,1,Electrical/Heating/Cooling,MJM Electric Coop.,264 NE,"Carlinville, IL","264 NE Carlinville, IL",217-854-3137,,,,
